1989.125	353.46	11.845852	13.364	15.495	8.1316
1989.208	354.0	12.392681	13.213	15.423	8.1218
1989.292	354.38	13.051776	12.356	14.328	
1989.375	354.19	14.046729	11.35	13.044	8.1158
1989.458	353.26	14.854363	9.951	12.245	8.1018
1989.542	351.56	15.576647	7.329	10.13	8.0991
1989.625	350.21	15.991933	5.563	7.882	8.093
1989.708	350.56	15.790133	4.863	7.008	8.099
1989.792	351.85	15.163429	6.956	8.829	8.0858
1989.875	353.04	14.071609	9.463	11.115	8.1101
1989.958	353.91	12.880425	11.606	13.387	
1990.042	354.46	12.425605	12.805	14.783	8.1332
1990.125	354.87	12.211874	13.416	15.578	8.1229
1990.208	355.2	12.454525	13.506	15.867	8.134
1990.292	355.5	13.481899	12.277	14.65	8.1229
1990.375	355.4	14.3092	10.902	13.226	8.1167
1990.458	354.33	15.245071	9.196	11.641	8.1232
1990.542	352.71	15.798494	6.522	9.247	8.1084
1990.625	351.59	16.15157	4.995	6.797	
1990.708	351.8	15.945626	4.545	6.143	8.085
1990.792	353.19	15.215792	6.736	8.485	
1990.875	354.43	14.288187	9.644	11.075	
1990.958	355.18	13.24997	11.469	13.106	8.1212
1991.042	355.76	12.515959	12.568	14.364	
1991.125	356.19	12.276154	13.224	15.249	8.1256
1991.208	356.68	12.606844	13.42	15.416	8.1263
1991.292	357.19	13.15623	12.868	14.86	8.1231
1991.375	357.11	14.238908	11.499	13.473	8.1144
1991.458	356.17	15.084936	9.659	12.108	8.1139
1991.542	354.53	16.010769	6.761	9.514	8.112
1991.625	353.05	16.181797	5.208	7.415	8.0992
1991.708	352.93	15.972016	4.513	6.473	8.0943
1991.792	354.0	15.244497	6.752	8.541	8.0981
1991.875	355.16	14.09813	9.252	10.885	
1991.958	355.95	13.012188	11.193	12.945	8.104
1992.042	356.52	12.328553	12.614	14.643	8.1177
1992.125	356.89	12.231692	13.583	15.462	8.1256
1992.208	357.26	12.478766	13.483	15.481	8.119
1992.292	357.75	13.161973	12.839	14.677	8.1099
1992.375	357.82	13.942103	11.427	13.216	
1992.458	356.87	14.923021	9.946	12.147	8.1152
1992.542	355.19	15.660211	7.217	10.323	8.0977
1992.625	353.68	15.767839	5.439	7.925	8.0956
1992.708	353.58	15.623468	5.426	7.474	8.0933
1992.792	354.8	14.837235	7.739	9.319	8.087
1992.875	355.98	13.84499	9.748	11.379	8.1052
1992.958	356.74	12.752625	11.722	13.407	8.1161
1993.042	357.21	12.202206	12.926	14.896	8.1349
1993.125	357.55	12.134322	13.613	15.686	8.1325
1993.208	357.96	12.420996	13.775	15.813	
1993.292	358.43	13.045415	13.028	15.077	8.1074
1993.375	358.38	14.035692	11.415	13.368	8.1105
1993.458	357.34	14.966397	9.261	11.871	
1993.542	355.72	15.680266	6.279	9.476	
1993.625	354.44	15.87908	4.759	7.335	
