15.414	1979.042
16.175	1979.125
16.342	1979.208
15.447	1979.292
13.857	1979.375
12.530	1979.458
10.311	1979.542
8.041	1979.625
7.051	1979.708
8.748	1979.792
10.943	1979.875
13.336	1979.958
14.862	1980.042
15.955	1980.125
16.041	1980.208
15.429	1980.292
13.793	1980.375
12.205	1980.458
10.100	1980.542
7.984	1980.625
7.667	1980.708
9.183	1980.792
11.383	1980.875
13.593	1980.958
14.910	1981.042
15.604	1981.125
15.632	1981.208
15.010	1981.292
13.802	1981.375
12.430	1981.458
10.271	1981.542
7.844	1981.625
7.138	1981.708
8.856	1981.792
10.929	1981.875
13.341	1981.958
15.177	1982.042
15.974	1982.125
16.044	1982.208
15.466	1982.292
13.973	1982.375
12.476	1982.458
10.367	1982.542
8.139	1982.625
7.302	1982.708
9.421	1982.792
11.627	1982.875
13.642	1982.958
14.942	1983.042
16.006	1983.125
16.085	1983.208
15.172	1983.292
13.491	1983.375
12.296	1983.458
10.570	1983.542
8.186	1983.625
7.395	1983.708
9.334	1983.792
11.461	1983.875
13.299	1983.958
14.473	1984.042
15.299	1984.125
15.584	1984.208
15.015	1984.292
13.577	1984.375
12.152	1984.458
9.977	1984.542
7.771	1984.625
6.805	1984.708
8.561	1984.792
10.842	1984.875
12.989	1984.958
14.725	1985.042
15.466	1985.125
15.886	1985.208
15.357	1985.292
14.073	1985.375
12.219	1985.458
9.744	1985.542
7.402	1985.625
6.698	1985.708
8.546	1985.792
11.025	1985.875
13.050	1985.958
14.890	1986.042
15.785	1986.125
15.910	1986.208
15.059	1986.292
13.379	1986.375
11.976	1986.458
10.146	1986.542
7.979	1986.625
7.411	1986.708
9.484	1986.792
11.453	1986.875
13.222	1986.958
14.970	1987.042
16.050	1987.125
15.816	1987.208
15.211	1987.292
13.743	1987.375
12.486	1987.458
10.333	1987.542
7.628	1987.625
7.279	1987.708
9.049	1987.792
11.224	1987.875
13.224	1987.958
14.798	1988.042
15.583	1988.125
15.957	1988.208
15.123	1988.292
13.561	1988.375
11.943	1988.458
9.809	1988.542
7.892	1988.625
7.369	1988.708
9.135	1988.792
11.331	1988.875
13.626	1988.958
14.955	1989.042
15.495	1989.125
15.423	1989.208
14.328	1989.292
13.044	1989.375
12.245	1989.458
10.130	1989.542
7.882	1989.625
7.008	1989.708
8.829	1989.792
